         86884 function calls (83281 primitive calls) in 32.940 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   32.941   32.941 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:1(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:1(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:1(DecimalTuple)
        1    0.000    0.000    0.000    0.000 <string>:1(DoneAndNotDoneFutures)
        1    0.000    0.000    0.000    0.000 <string>:1(ModuleInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(ParseResult)
        1    0.000    0.000    0.000    0.000 <string>:1(SplitResult)
        1    0.000    0.000    0.000    0.000 <string>:1(Traceback)
        1    0.000    0.000    0.000    0.000 <string>:1(_URLTuple)
        1    0.000    0.000    0.000    0.000 <string>:1(bind)
        1    0.000    0.000    0.000    0.000 <string>:1(connect)
        2    0.000    0.000    0.000    0.000 <string>:1(fileno)
        1    0.000    0.000    0.000    0.000 <string>:1(setblocking)
        1    0.000    0.000    0.000    0.000 <string>:1(setsockopt)
        1    0.000    0.000    0.000    0.000 <string>:1(settimeout)
        1    0.000    0.000    0.000    0.000 BaseHTTPServer.py:102(HTTPServer)
        1    0.000    0.000    0.000    0.000 BaseHTTPServer.py:114(BaseHTTPRequestHandler)
        1    0.000    0.000    0.000    0.000 BaseHTTPServer.py:18(<module>)
        1    0.001    0.001    0.001    0.001 Queue.py:1(<module>)
        2    0.000    0.000    0.000    0.000 Queue.py:107(put)
        1    0.000    0.000    0.000    0.000 Queue.py:13(Full)
        1    0.000    0.000    0.000    0.000 Queue.py:17(Queue)
        1    0.000    0.000    0.000    0.000 Queue.py:197(_init)
        2    0.000    0.000    0.000    0.000 Queue.py:204(_put)
        1    0.000    0.000    0.000    0.000 Queue.py:212(PriorityQueue)
        1    0.000    0.000    0.000    0.000 Queue.py:218(_init)
        2    0.000    0.000    0.000    0.000 Queue.py:22(__init__)
        1    0.000    0.000    0.000    0.000 Queue.py:231(LifoQueue)
        1    0.000    0.000    0.000    0.000 Queue.py:9(Empty)
        1    0.000    0.000    0.000    0.000 SocketServer.py:120(<module>)
        1    0.000    0.000    0.000    0.000 SocketServer.py:160(BaseServer)
        1    0.000    0.000    0.000    0.000 SocketServer.py:352(TCPServer)
        1    0.000    0.000    0.000    0.000 SocketServer.py:463(UDPServer)
        1    0.000    0.000    0.000    0.000 SocketServer.py:485(ForkingMixIn)
        1    0.000    0.000    0.000    0.000 SocketServer.py:556(ThreadingMixIn)
        1    0.000    0.000    0.000    0.000 SocketServer.py:585(ForkingUDPServer)
        1    0.000    0.000    0.000    0.000 SocketServer.py:586(ForkingTCPServer)
        1    0.000    0.000    0.000    0.000 SocketServer.py:588(ThreadingUDPServer)
        1    0.000    0.000    0.000    0.000 SocketServer.py:589(ThreadingTCPServer)
        1    0.000    0.000    0.000    0.000 SocketServer.py:593(UnixStreamServer)
        1    0.000    0.000    0.000    0.000 SocketServer.py:596(UnixDatagramServer)
        1    0.000    0.000    0.000    0.000 SocketServer.py:599(ThreadingUnixStreamServer)
        1    0.000    0.000    0.000    0.000 SocketServer.py:601(ThreadingUnixDatagramServer)
        1    0.000    0.000    0.000    0.000 SocketServer.py:603(BaseRequestHandler)
        1    0.000    0.000    0.000    0.000 SocketServer.py:650(StreamRequestHandler)
        1    0.000    0.000    0.000    0.000 SocketServer.py:676(DatagramRequestHandler)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
        1    0.000    0.000    0.000    0.000 StringIO.py:42(StringIO)
       44    0.000    0.000    0.000    0.000 UserDict.py:17(__getitem__)
        1    0.000    0.000    0.000    0.000 UserDict.py:38(keys)
        3    0.000    0.000    0.000    0.000 UserDict.py:4(__init__)
        2    0.000    0.000    0.000    0.000 UserDict.py:57(get)
        3    0.000    0.000    0.000    0.000 UserDict.py:69(__contains__)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:74(_Feature)
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
        5    0.001    0.000    0.003    0.001 __init__.py:1(<module>)
        2    0.001    0.000    0.003    0.002 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1001(Logger)
       13    0.000    0.000    0.000    0.000 __init__.py:1016(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1028(setLevel)
       17    0.000    0.000    0.000    0.000 __init__.py:1034(debug)
        2    0.000    0.000    0.000    0.000 __init__.py:104(CFunctionType)
        2    0.000    0.000    0.000    0.000 __init__.py:1046(info)
        1    0.001    0.001    0.069    0.069 __init__.py:11(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:1121(findCaller)
        1    0.000    0.000    0.000    0.000 __init__.py:113(_import_OrderedDict)
        1    0.000    0.000    0.000    0.000 __init__.py:114(module)
        2    0.000    0.000    0.000    0.000 __init__.py:1142(makeRecord)
        2    0.000    0.000    0.000    0.000 __init__.py:1155(_log)
        1    0.000    0.000    0.000    0.000 __init__.py:117(__getattr__)
        2    0.000    0.000    0.000    0.000 __init__.py:1175(handle)
        2    0.000    0.000    0.000    0.000 __init__.py:1185(addHandler)
        2    0.000    0.000    0.000    0.000 __init__.py:1204(callHandlers)
       19    0.000    0.000    0.000    0.000 __init__.py:1230(getEffectiveLevel)
       19    0.000    0.000    0.000    0.000 __init__.py:1244(isEnabledFor)
        1    0.000    0.000    0.000    0.000 __init__.py:125(Unavailable)
        1    0.000    0.000    0.000    0.000 __init__.py:1252(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1258(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1266(LoggerAdapter)
       12    0.000    0.000    0.000    0.000 __init__.py:1420(getLogger)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:148(Timeout)
        2    0.000    0.000    0.000    0.000 __init__.py:148(getLevelName)
        1    0.000    0.000    0.004    0.004 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:159(py_object)
        1    0.000    0.000    0.043    0.043 __init__.py:16(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_short)
       17    0.000    0.000    0.000    0.000 __init__.py:170(make_simple_escaping_wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:172(ReadTimeout)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:176(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:18(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:180(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:194(WriteTimeout)
       14    0.000    0.000    0.000    0.000 __init__.py:194(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:201(c_double)
       14    0.000    0.000    0.000    0.000 __init__.py:203(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:205(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:210(dumps)
        1    0.000    0.000    0.000    0.000 __init__.py:214(AlreadyExists)
        1    0.000    0.000    0.000    0.000 __init__.py:214(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:216(_MagicFormatMapping)
        2    0.000    0.000    0.000    0.000 __init__.py:226(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:226(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char)
        1    0.002    0.002    0.003    0.003 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:242(InvalidRequest)
        1    0.000    0.000    0.000    0.000 __init__.py:243(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:248(EscapeFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:25(Markup)
        1    0.000    0.000    0.000    0.000 __init__.py:25(_ConsoleFrame)
        1    0.000    0.000    0.000    0.000 __init__.py:250(Unauthorized)
        1    0.000    0.000    0.000    0.000 __init__.py:255(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:257(AuthenticationFailed)
        1    0.000    0.000    0.000    0.000 __init__.py:260(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:264(OperationTimedOut)
       43    0.000    0.000    0.002    0.000 __init__.py:270(loads)
        1    0.000    0.000    0.000    0.000 __init__.py:275(_MarkupEscapeHelper)
        1    0.000    0.000    0.000    0.000 __init__.py:275(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:278(c_wchar)
        1    0.001    0.001    0.014    0.014 __init__.py:28(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:288(UnsupportedOperation)
        2    0.000    0.000    0.000    0.000 __init__.py:289(getMessage)
        1    0.000    0.000    0.000    0.000 __init__.py:30(ConsistencyLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:320(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:324(Formatter)
        3    0.000    0.000    0.000    0.000 __init__.py:337(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:347(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:35(DebuggedApplication)
        4    0.000    0.000    0.000    0.000 __init__.py:363(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:368(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:370(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:376(PyDLL)
        2    0.002    0.001    0.007    0.003 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:416(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:417(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:423(format)
        1    0.001    0.001    0.002    0.002 __init__.py:43(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:462(BufferingFormatter)
        3    0.000    0.000    0.000    0.000 __init__.py:480(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:481(CFunctionType)
        4    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:504(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:541(Filterer)
       15    0.000    0.000    0.000    0.000 __init__.py:546(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:566(filter)
        1    0.000    0.000    0.000    0.000 __init__.py:588(Handler)
        2    0.000    0.000    0.000    0.000 __init__.py:597(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:614(createLock)
        2    0.000    0.000    0.000    0.000 __init__.py:623(acquire)
        2    0.000    0.000    0.000    0.000 __init__.py:630(release)
        2    0.000    0.000    0.000    0.000 __init__.py:643(format)
        1    0.000    0.000    0.000    0.000 __init__.py:66(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:666(handle)
        1    0.000    0.000    0.000    0.000 __init__.py:70(ProcessError)
        4    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
        1    0.000    0.000    0.000    0.000 __init__.py:73(BufferTooShort)
        1    0.000    0.000    0.000    0.000 __init__.py:739(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:74(LazyImporter)
        1    0.000    0.000    0.000    0.000 __init__.py:746(__init__)
       19    0.000    0.000    0.000    0.000 __init__.py:75(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:757(flush)
        2    0.000    0.000    0.000    0.000 __init__.py:76(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:76(TimeoutError)
        2    0.000    0.000    0.000    0.000 __init__.py:764(emit)
        2    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:79(AuthenticationError)
